"CALL","QSO_DATE","TIME_ON","TIME_OFF","BAND","MODE","RST_SENT","RST_RCVD","QSL_SENT","QSL_SENT_VIA","APP_EQSL_AG","GRIDSQUARE","STATION_CALLSIGN","FREQ","CONTEST_ID","FREQ_RX","OPERATOR","CQZ","STX","APP_N1MM_POINTS","APP_N1MM_RADIO_NR","APP_N1MM_CONTINENT","APP_N1MM_RUN1RUN2","APP_N1MM_RADIOINTERFACED","APP_N1MM_ISORIGINAL","APP_N1MM_NETBIOSNAME","APP_N1MM_ISRUNQSO","APP_N1MM_ID","APP_N1MM_CLAIMEDQSO","SWL","QSLMSG_INTL","QSLMSG","TX_PWR"
"F0DWJ","20101215","1324",,"20m","PSK","599","","Y","E",,"JN23RM",,,,,,,,,,,,,,,,,,,,"F0DWJ/SWL  aix en provence 13  14.070mhz  BPSK 31  PASCAL 73",
"C31PP","20101225","1051",,"20M","SSB","59","","Y","E","Y","JN02SM",,,,,,,,,,,,,,,,,,,,,
"C31PP","20101225","1052",,"20M","SSB","59","","Y","E","Y","JN02SM",,,,,,,,,,,,,,,,,,,,,
"M6TTH","20101229","1358",,"40M","CONTESTI","599","","Y","E","Y","JO02AF",,,,,,,,,,,,,,,,,,,,,
"RU6YJ","20101231","0951",,"15M","PSK","599","","Y","E","Y","LN04BO",,,,,,,,,,,,,,,,,,,,,
"RU6YJ","20101231","0953",,"15M","PSK","599","","Y","E","Y","LN04BO",,,,,,,,,,,,,,,,,,,,,
"DA0SL","20101231","1610",,"80M","PSK","599","","Y","E","Y","JO51DJ",,,,,,,,,,,,,,,,,,,,"TNX QSO. SDOK: 45WBS..73 de OP Alfred (DH5AO)",
"DO2NOB","20101231","1615",,"80M","PSK","599","","Y","E","Y","JO50RC",,,,,,,,,,,,,,,,,,,,"Bitte auch eine Karte euber das Beuro Danke von Bruno",
"DO2NOB","20101231","1620",,"80M","PSK","599","","Y","E","Y","JO50RC",,,,,,,,,,,,,,,,,,,,,
"N1IW","20110102","1623",,"17M","RTTY","599","","Y","E","Y","FN42iv",,,,,,,,,,,,,,,,,,,,,
"YU7AU","20110104","1628",,"40M","PSK","599","","Y","E","Y","KN04HU",,,,,,,,,,,,,,,,,,,,,
"YU7AU","20110104","1628",,"40M","PSK","599","","Y","E","Y","KN04HU",,,,,,,,,,,,,,,,,,,,,
"US-N-55","20110104","1629",,"40M","PSK","569","","Y","E","Y","KN49jq",,,,,,,,,,,,,,,,,,,,"You WKD with  YU7AU  . PSE QSL TU 73!.",
"UX7FB","20110109","1050",,"20M","SSB","59","","Y","E","Y","KN56FI",,,,,,,,,,,,,,,,,,,,,
"A41NN","20110109","1230",,"15M","SSB","59","","Y","E","Y","LL93gl",,,,,,,,,,,,,,,,,,,,,
"NL8992","20110109","1246",,"40m","SSB","3.3","","Y","E","Y","JO32fl",,,,,,,,,,,,,,,,,,,,"Midwinter QSO party: Wkd: GM4YMM  QSO nr 003. Good modulation. Ant hr 20 m LW.",
"PI4IPA","20110112","1032",,"40M","PSK","599","","Y","E","Y","JO22",,,,,,,,,,,,,,,,,,,,,
"PI4IPA","20110112","1033",,"40M","PSK","599","","Y","E","Y","JO22",,,,,,,,,,,,,,,,,,,,"Reginald, bedankt voor het QSO en eQSL. Papieren QSL is via het buro. Graag papieren QSL.",
"V55DLH","20110211","0714",,"20M","SSB","59","","Y","E","Y","JG88ds",,,,,,,,,,,,,,,,,,,,,
"RA1QCB","20110211","0722",,"17M","PSK","599","","Y","E","Y","KO99PG",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!. ",
"V55DLH","20110211","0854",,"17M","SSB","59","","Y","E","Y","JG88ds",,,,,,,,,,,,,,,,,,,,,
"F5VMH","20110211","0910",,"40M","PSK","","","Y","E","Y","JN08QR",,,,,,,,,,,,,,,,,,,,,
"DF1CHB","20110211","0957",,"17m","SSB","5","","Y","E","Y","JO31jf",,,,,,,,,,,,,,,,,,,"Aero Mobile N41?-E028?/B737-300 34000Ft/Tnx for QSO on 18165Khz/73s - Cyril",,
"DF1CHB/AM","20110211","0959",,"17M","SSB","59","","Y","E","Y","JO31jf",,,,,,,,,,,,,,,,,,,,"Best 73's",
"UT9LI","20110211","1058",,"15M","PSK","599","","Y","E","Y","ko80cc",,,,,,,,,,,,,,,,,,,,"Tnx fr nice qso...73! - de Sergio",
"OM3WOR","20110211","1105",,"20M","PSK","599","","Y","E","Y","JN98DF",,,,,,,,,,,,,,,,,,,,,
"T70DXC","20110212","1245",,"40M","SSB","59","","Y","E","Y","JN63gw",,,,,,,,,,,,,,,,,,,,,
"V55DLH","20110212","1255",,"10M","SSB","59","","Y","E","Y","JG88ds",,,,,,,,,,,,,,,,,,,,,
"F8KKH","20110219","1134",,"40M","SSB","59","","Y","E","Y","JO10OQ",,,,,,,,,,,,,,,,,,,,,
"TM90RCNF","20110219","1134",,"40M","SSB","59","","Y","E","Y","JO10OQ",,,,,,,,,,,,,,,,,,,,"tks fer call - special qsl card via buro",
"HB10K","20110302","1622",,"40M","PSK","599","","Y","E","Y","JN36kw",,,,,,,,,,,,,,,,,,,,,
"D2AM","20110307","1559",,"10M","SSB","59","","Y","E",,,,,,,,,,,,,,,,,,,,,,,
"EA8OM","20110307","1744",,"10M","SSB","59","","Y","E","Y","IL18rj",,,,,,,,,,,,,,,,,,,,,
"YY8HBO","20110307","1807",,"15M","PSK","599","","Y","E","Y","fj89jr",,,,,,,,,,,,,,,,,,,,"599",
"EV7B","20110310","1702",,"40M","SSB","59","","Y","E","Y","KO43od",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"D2AM","20110315","1650",,"15M","SSB","59","","Y","E",,,,,,,,,,,,,,,,,,,,,,,
"RV9MA","20110316","1107",,"20M","PSK","599","","Y","E","Y","MO64QX",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"ZS6C","20110316","1558",,"15M","PSK","","","Y","E","Y","KG33vu",,,,,,,,,,,,,,,,,,,,,
"ZS6GRL","20110316","1558",,"15M","PSK","599","","Y","E","Y","KG33WU",,,,,,,,,,,,,,,,,,,,,
"LZ3QE","20110316","1606",,"15M","PSK","599","","Y","E","Y","kn32ql",,,,,,,,,,,,,,,,,,,,,
"EA8FJ","20110317","1550",,"10M","PSK","599","","Y","E","Y","IL18UL",,,,,,,,,,,,,,,,,,,,,
"PY3ED","20110317","1602",,"10M","PSK","599","","Y","E","Y","GF49MT",,,,,,,,,,,,,,,,,,,,,
"IO2UDI","20110318","2229",,"80M","PSK","599","","Y","E","Y","JN45MQ",,,,,,,,,,,,,,,,,,,,"Please paper qsl via manager: IQ2LZ (via bureau)",
"IZ2QGF","20110318","2229",,"80M","PSK","599","","Y","E","Y","JN45lr",,,,,,,,,,,,,,,,,,,,"Tnx 73 de IZ2QGF Loris",
"SQ5OUO","20110318","2232",,"80M","PSK","599","","Y","E","Y","KO02GE",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"OE5WRO","20110319","0829",,"40M","PSK","599","","Y","E","Y","jn67tp",,,,,,,,,,,,,,,,,,,,"Tnx for QSO, 73 de OE5WRO - Wolfgang",
"YL-RS-01","20110319","0835",,"40M","PSK","599","","Y","E","Y","KO26cw",,,,,,,,,,,,,,,,,,,,"You WKD with  OE5WRO  . PSE QSL TU 73!.",
"UT1PA","20110322","0630",,"40M","PSK","599","","Y","E","Y","ko21fc",,,,,,,,,,,,,,,,,,,,,
"W1SSF","20110322","2015",,"20M","PSK","599","","Y","E","Y","FN54en",,,,,,,,,,,,,,,,,,,,,
"W1SSF","20110322","2018",,"20M","PSK","589","","Y","E","Y","FN54en",,,,,,,,,,,,,,,,,,,,"THANKS AND 73s good dx in 2010",
"DO7DP","20110322","2023",,"20M","PSK","599","","Y","E","Y","JO31HG",,,,,,,,,,,,,,,,,,,,"73 and THX QSO de Dirk (DO7DP - PJ2/DO7DP)",
"PJ2/DO7DP","20110322","2023",,"20M","PSK","599","","Y","E","Y","FK52",,,,,,,,,,,,,,,,,,,,"73 and THX QSO de Dirk (DO7DP - PJ2/DO7DP)",
"IW9GHJ","20110323","0826",,"17M","PSK","599","","Y","E","Y","JM77LO",,,,,,,,,,,,,,,,,,,,"73' de Salvo",
"IW9GHJ","20110323","0826",,"17M","PSK","599","","Y","E","Y","JM77LO",,,,,,,,,,,,,,,,,,,,,"0.0000"
"HZ1DG","20110323","1232",,"10M","SSB","59","","Y","E","Y","LK18JG",,,,,,,,,,,,,,,,,,,,,
"RK6CK","20110323","1246",,"15M","PSK","599","","Y","E","Y",,,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"TF5B","20110323","1253",,"20M","PSK","599","","Y","E","Y","IP05wq",,,,,,,,,,,,,,,,,,,,,
"ZS6GRL","20110323","1338",,"10M","PSK","599","","Y","E","Y","KG33WU",,,,,,,,,,,,,,,,,,,,,
"ZS6C","20110323","1338",,"10M","PSK","","","Y","E","Y","KG33vu",,,,,,,,,,,,,,,,,,,,,
"CT9/DF7ZS","20110323","1642",,"15M","SSB","59","","Y","E","Y","IM12NT",,,,,,,,,,,,,,,,,,,,,
"VA3MJR","20110323","1951",,"20M","PSK","599","","Y","E","Y","FN03bf",,,,,,,,,,,,,,,,,,,,,
"UR5FOA","20110323","1957",,"20M","PSK","599","","Y","E","Y","KN56jk",,,,,,,,,,,,,,,,,,,,,
"LZ1XM","20110323","1959",,"20M","PSK","599","","Y","E","Y","KN12NR",,,,,,,,,,,,,,,,,,,,"vy 73 et GL!",
"VO2NS","20110323","2002",,"20M","PSK","599","","Y","E","Y","FO62nw",,,,,,,,,,,,,,,,,,,,,
"CU3HN","20110323","2012",,"20M","PSK","599","","Y","E",,"HM68JP",,,,,,,,,,,,,,,,,,,,,
"TG9AHM","20110324","1711",,"15M","PSK","599","","Y","E","Y","EK44RO",,,,,,,,,,,,,,,,,,,,,
"IT9QDS","20110324","1715",,"15M","PSK","599","","Y","E",,"JM77PB",,,,,,,,,,,,,,,,,,,,,
"CT3EE","20110325","1803",,"10M","SSB","59","","Y","E","Y","IM12NP",,,,,,,,,,,,,,,,,,,,,
"PY2LOW","20110325","1814",,"15M","PSK","599","","Y","E","Y","GG66OL",,,,,,,,,,,,,,,,,,,,,
"PH9HB/AM","20110326","0814",,"17M","SSB","33","","Y","E","Y","JO22aa",,,,,,,,,,,,,,,,,,,,"B737 pos. 300 km SE Madeira/CT3, see QRZ.com for QSL info!",
"4Z5MY","20110326","0822",,"15M","PSK","599","","Y","E","Y","KL67kl",,,,,,,,,,,,,,,,,,,,,
"4Z5MY","20110326","0822",,"15M","PSK","599","","Y","E","Y","KL67kl",,,,,,,,,,,,,,,,,,,,"TNX FOR QSO TU 73!.",
"4Z5MY","20110326","0831",,"15M","PSK","599","","Y","E","Y","KL67kl",,,,,,,,,,,,,,,,,,,,,
"ZS6RJS","20110326","1329",,"10M","PSK","599","","Y","E","Y","KG43du",,,,,,,,,,,,,,,,,,,,,
"VE3EQV","20110326","1347",,"15m","PSK","599","","Y","E","Y","FN03ja",,,,,,,,,,,,,,,,,,,,"Thanks for the QSO on PSK31. 73 Doug",
"W1/E74OF","20110326","1416",,"15M","PSK","599","","Y","E","Y","JN94eu",,,,,,,,,,,,,,,,,,,,"73's from Pedja in Vermont USA",
"W0PAS","20110326","1621",,"15M","PSK","599","","Y","E","Y","EN91fl",,,,,,,,,,,,,,,,,,,,,
"CU3HN","20110326","1632",,"15M","PSK","","","Y","E",,"HM68JP",,,,,,,,,,,,,,,,,,,,,
"VE2AHS","20110326","1636",,"15M","PSK","599","","Y","E","Y","FN46JU",,,,,,,,,,,,,,,,,,,,,
"N9FR","20110326","1641",,"15M","PSK","599","","Y","E","Y","EM37lc",,,,,,,,,,,,,,,,,,,,,
"EA5HDX","20110326","1801",,"15M","PSK","599","","Y","E","Y","IM98CC",,,,,,,,,,,,,,,,,,,,"Thanks for qso and 73's!!!",
"EA5HDX","20110326","1802",,"15M","PSK","599","","Y","E","Y","IM98CC",,,,,,,,,,,,,,,,,,,,"Thanks for qso and good DX!!!",
"PY3AGI","20110326","1810",,"10M","PSK","599","","Y","E","Y","GG30BH",,,,,,,,,,,,,,,,,,,,"73, Thanks for the QSO...    ILHA",
"PY3AGI","20110326","1812",,"10M","PSK","599","","Y","E","Y","GG30BH",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"VA3VD","20110326","2219",,"20M","PSK","599","","Y","E",,"FN04ek",,,,,,,,,,,,,,,,,,,,"Thanks for the qso, 73 de Dave",
"DK5ON","20110326","2220",,"20M","PSK","599","","Y","E","Y","JO41GX",,,,,,,,,,,,,,,,,,,,,
"HI8LAM","20110328","1457",,"15M","SSB","59","","Y","E","Y","FK59",,,,,,,,,,,,,,,,,,,,"tnx for contact all in lotw 73",
"UA6-101-2072","20110328","1505",,"15M","PSK","599","","Y","E",,"KN93uo",,,,,,,,,,,,,,,,,,,,,
"AJ4HW","20110328","1507",,"15M","PSK","599","","Y","E","Y","EM75VU",,,,,,,,,,,,,,,,,,,,,
"N4THG","20110328","1507",,"15M","PSK","599","","Y","E","Y","EM86",,,,,,,,,,,,,,,,,,,,,
"UA3GX","20110328","1511",,"15M","PSK","599","","Y","E","Y","KO93NG",,,,,,,,,,,,,,,,,,,,,
"D2AM","20110328","1717",,"17M","SSB","55","","Y","E",,,,,,,,,,,,,,,,,,,,,,,
"JA3GAK","20110330","0755",,"15M","PSK","599","","Y","E",,"pm74qk",,,,,,,,,,,,,,,,,,,,,
"JM1VWQ","20110330","0830",,"15M","PSK","599","","Y","E","Y","PM96VF",,,,,,,,,,,,,,,,,,,,,
"SP0054SZ","20110330","0843",,"15m","PSK","579","","Y","E","Y","JO73jn",,,,,,,,,,,,,,,,,,,,"wkd  HL4CYG  best 73 & 88 Barbara.",
"UA6CET","20110401","1540",,"12M","PSK","599","","Y","E","Y","KN93vo",,,,,,,,,,,,,,,,,,,,,
"EA5HDX","20110402","1755",,"17M","PSK","599","","Y","E","Y","IM98CC",,,,,,,,,,,,,,,,,,,,"Thanks for qso and 73's!!!",
"RN4ABD","20110402","1757",,"17M","PSK","599","","Y","E","Y","ln28gs",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"RN4ABD","20110402","1757",,"17M","PSK","599","","Y","E","Y","ln28gs",,,,,,,,,,,,,,,,,,,,,
"YO4ADL","20110406","0726",,"17M","PSK","599","","Y","E","Y","KN45AK",,,,,,,,,,,,,,,,,,,,,
"RM9RZ","20110406","0839",,"10M","PSK","599","","Y","E","Y","MO25PL",,,,,,,,,,,,,,,,,,,,,
"9M2MRS","20110406","1110",,"10M","PSK","599","","Y","E","Y","OJ05dl",,,,,,,,,,,,,,,,,,,,,
"9M2MRS","20110406","1115",,"10M","PSK","599","","Y","E","Y","OJ05dl",,,,,,,,,,,,,,,,,,,,,
"9M2MRS","20110406","1115",,"10M","PSK","599","","Y","E","Y","OJ05dl",,,,,,,,,,,,,,,,,,,,,
"9M2MRS","20110406","1117",,"10M","RTTY","599","","Y","E","Y","OJ05dl",,,,,,,,,,,,,,,,,,,,,
"N9AVY","20110407","1517",,"15M","PSK","599","","Y","E","Y","EN52qf",,,,,,,,,,,,,,,,,,,,,
"N9AVY","20110407","1519",,"15M","PSK","599","","Y","E","Y","EN52qf",,,,,,,,,,,,,,,,,,,,"Tnx QSO !",
"4Z5KU","20110407","1530",,"10M","PSK","599","","Y","E","Y","KM71OT",,,,,,,,,,,,,,,,,,,,"TNX QSO 73 FB DX GL ",
"4Z5KU","20110407","1535",,"10M","PSK","599","","Y","E","Y","KM71OT",,,,,,,,,,,,,,,,,,,,,
"NM3B","20110407","1948",,"15M","PSK","599","","Y","E","Y","FN01SK",,,,,,,,,,,,,,,,,,,,"Tnx QSO   73, Wayne",
"PU2OAJ","20110408","1743",,"15M","PSK","599","","Y","E","Y","GG66NL",,,,,,,,,,,,,,,,,,,,"THANKS, 73'S, BEST TO YOU FRIEND.",
"PU2OAJ","20110408","1745",,"15M","PSK","","","Y","E","Y","GG66NL",,,,,,,,,,,,,,,,,,,,,
"PU2OAJ","20110408","1746",,"15M","PSK","599","","Y","E","Y","GG66NL",,,,,,,,,,,,,,,,,,,,,
"TC2J","20110408","1750",,"15M","PSK","599","","Y","E","Y","KN91KA",,,,,,,,,,,,,,,,,,,,,
"VE3FGU","20110408","1908",,"12M","OLIVIA","569","","Y","E","Y","FN04",,,,,,,,,,,,,,,,,,,,,
"T77NC","20110413","0756",,"40M","PSK","599","","Y","E","Y","JN63FW",,,,,,,,,,,,,,,,,,,,,
"T77NC","20110413","0802",,"40M","PSK","599","","Y","E","Y","JN63FW",,,,,,,,,,,,,,,,,,,,,
"F1ILA","20110413","0805",,"40M","PSK","599","","Y","E","Y","IN93MN",,,,,,,,,,,,,,,,,,,,,
"UA4CDM","20110413","1106",,"15m","PSK","599","","Y","E","Y","LO31BL",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"U5ARTEK/A","20110415","2032",,"20M","PSK","599","","Y","E","Y","KO50GL",,,,,,,,,,,,,,,,,,,,,
"U5ARTEK/A","20110415","2032",,"20M","PSK","599","","Y","E","Y","KO50GL",,,,,,,,,,,,,,,,,,,,,
"U5ARTEK/A","20110415","2036",,"20M","PSK","599","","Y","E","Y","KO50GL",,,,,,,,,,,,,,,,,,,,,
"PA11134","20110415","2036",,"20M","PSK","599","","Y","E","Y","JO21va",,,,,,,,,,,,,,,,,,,,"This is a SWL report",
"RG50F","20110416","1706",,"15M","SSB","59","","Y","E","Y","KO95BV",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"W8HAW","20110416","1708",,"12M","PSK","599","","Y","E","Y","em99aj",,,,,,,,,,,,,,,,,,,,"Thanks for the QSO Hope to see you again soon God Bless",
"VP8LP","20110416","1959",,"17M","SSB","57","","Y","E","Y","GD18bh",,,,,,,,,,,,,,,,,,,,,
"SV2GJV","20110417","1739",,"17M","PSK","599","","Y","E","Y","KN10cm",,,,,,,,,,,,,,,,,,,,"Tks for the qso - 73 de George",
"YL3AID","20110417","1752",,"40M","PSK","599","","Y","E","Y","KO07TJ",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"K9QVB","20110417","2105",,"20M","RTTY","599","","Y","E","Y","EN62",,,,,,,,,,,,,,,,,,,,,
"N3SBA","20110418","2141",,"20M","PSK","599","","Y","E","Y","fm28da",,,,,,,,,,,,,,,,,,,,,
"N2SLB","20110418","2201",,"20M","PSK","599","","Y","E","Y","FN34da",,,,,,,,,,,,,,,,,,,,"Thanks for fb qso.  73 Bob",
"OM7OM","20110421","0631",,"40M","PSK","599","","Y","E","Y","JN98UJ",,,,,,,,,,,,,,,,,,,,"Tks for QSO, 73 Milan.",
"VK3JMB","20110422","0709",,"20M","RTTY","599","","Y","E","Y","QF22mi",,,,,,,,,,,,,,,,,,,,,
"TC57A","20110423","1444",,"20M","SSB","59","","Y","E","Y","KN30MX",,,,,,,,,,,,,,,,,,,,,
"UK8OAR","20110424","1408",,"15M","PSK","599","","Y","E","Y","MN51UA",,,,,,,,,,,,,,,,,,,,,
"R3LT","20110424","2127",,"80M","PSK","599","","Y","E","Y","KO65pc",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"R3LT","20110424","2127",,"80M","PSK","599","","Y","E","Y","KO65pc",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"ES4MM","20110425","1614",,"30M","PSK","599","","Y","E","Y","KO39pj",,,,,,,,,,,,,,,,,,,,,
"J73WA","20110425","1945",,"17M","RTTY","599","","Y","E","Y","FK95GN",,,,,,,,,,,,,,,,,,,,,
"PY3ED","20110426","1558",,"15M","RTTY","599","","Y","E","Y","GF49MT",,,,,,,,,,,,,,,,,,,,,
"A45XR","20110427","1744",,"17M","RTTY","599","","Y","E","Y","LL93do",,,,,,,,,,,,,,,,,,,,,
"TF3AO","20110427","1744",,"20M","RTTY","599","","Y","E","Y","HP94BC",,,,,,,,,,,,,,,,,,,,,
"LU2HOD","20110428","0102",,"20M","PSK","599","","Y","E","Y","FF86TI",,,,,,,,,,,,,,,,,,,,,
"LU2HOD","20110428","0104",,"20M","PSK","599","","Y","E","Y","FF86TI",,,,,,,,,,,,,,,,,,,,,
"CX3CQ","20110428","0110",,"20M","PSK","599","","Y","E","Y","GF15VD",,,,,,,,,,,,,,,,,,,,,
"GR0GMN","20110429","0809",,"40M","SSB","59","","Y","E","Y","IO75NS",,,,,,,,,,,,,,,,,,,,,"200.0000"
"4Z5OZ","20110501","1532",,"10M","PSK","599","","Y","E","Y","KM72kc",,,,,,,,,,,,,,,,,,,,"/F",
"MR0SDY","20110501","1548",,"40M","PSK","599","","Y","E","Y","JO02re",,,,,,,,,,,,,,,,,,,,,
"MM0GHM","20110503","1823",,"40M","PSK","599","","Y","E","Y","IO75TO",,,,,,,,,,,,,,,,,,,,"TNX QSO F/PA1REG/P 73",
"3A5DG","20110505","0956",,"30M","PSK","599","","Y","E",,"JN33rr",,,,,,,,,,,,,,,,,,,,,
"DL0DIX","20110505","1004",,"40M","PSK","599","","Y","E","Y","jo50ww",,,,,,,,,,,,,,,,,,,,,
"IO2UDI","20110505","1515",,"30M","PSK","599","","Y","E","Y","JN45MQ",,,,,,,,,,,,,,,,,,,,,
"EC8ADW","20110505","1737",,"10M","PSK","599","","Y","E","Y","IL28GA",,,,,,,,,,,,,,,,,,,,"599 Tnx fer nice qso 73 .",
"SV1OZ","20110505","1759",,"17M","RTTY","599","","Y","E",,"KM17VX",,,,,,,,,,,,,,,,,,,,,
"PA1JM","20110505","1929",,"40M","PSK","599","","Y","E",,"jo22kb",,,,,,,,,,,,,,,,,,,,,
"LB4T","20110505","2031",,"30M","PSK","599","","Y","E","Y","JO59hp",,,,,,,,,,,,,,,,,,,,,
"AO7EU","20110509","1536",,"17M","SSB","59","","Y","E","Y","IM77aj",,,"AO7EU",,,,,,,,,,,,,,,,,"Europe Day QSL & EANET Award http://fediea.org/eanet/",
"IK0CHU","20110514","0940",,"15M","RTTY","599","","Y","E","Y","JN62bk",,,,,,,,,,,,,,,,,,,,,
"CT1AAL","20110514","0946",,"17M","RTTY","599","","Y","E","Y","IM58HQ",,,,,,,,,,,,,,,,,,,,"Tks for the QSO, 73 de Chaves",
"XE2KJV","20110515","0212",,"20M","PSK","599 ","","Y","E","Y","DL95mj",,,,,,,,,,,,,,,,,,,,"73, thanks for the QSO",
"OT7G","20110515","0926",,"40M","SSB","59","","Y","E","Y","JO10ST",,,,,,,,,,,,,,,,,,,,"Tnx qso 73's Nic OT7G",
"OT7G","20110515","0928",,"40M","SSB","59","","Y","E","Y","JO10ST",,,,,,,,,,,,,,,,,,,,,
"EA7GXW","20110515","0955",,"17M","SSB","","","Y","E","Y","IM86qt",,,,,,,,,,,,,,,,,,,,,
"EF7NL","20110515","0955",,"17M","SSB","59","","Y","E","Y","im86qt",,,"ACT- EF7NL",,,,,,,,,,,,,,,,,,
"G5FZ","20110516","2203",,"80M","SSB","59","","Y","E","Y","IO93RH",,,,,,,,,,,,,,,,,,,,,"400.0000"
"SX5F","20110518","0730",,"20M","SSB","59","","Y","E","Y","KM37ng",,,,,,,,,,,,,,,,,,,,,
"FJ/OS1T","20110518","1136",,"15M","RTTY","599","","Y","E","Y","fk87ov",,,,,,,,,,,,,,,,,,,,,
"K2PSD","20110519","2035",,"15M","PSK","599","","Y","E","Y","FN20ru",,,,,,,,,,,,,,,,,,,,,
"OL950CHEB","20110520","1732",,"20M","PSK","599","","Y","E",,,,,,,,,,,,,,,,,,,,,,,
"GM7GAX","20110521","1425",,"10M","PSK","599","","Y","E","Y","io75pw",,,,,,,,,,,,,,,,,,,,"Thanks for the contact, TU 73 Bobby",
"7S6W","20110521","1443",,"12M","SSB","59","","Y","E","Y","JO57tp",,,,,,,,,,,,,,,,,,,,,
"SWLI65786AL","20110522","2031",,"20M","PSK","599","","Y","E","Y","JN45eu",,,,,,,,,,,,,,,,,,,,"QSO with EM150CT. Have a good DX!!!",
"UR1004SWL","20110522","2032",,"20M","PSK","599","","Y","E","Y","KN78MJ",,,,,,,,,,,,,,,,,,,,"You WKD with EM150CT . PSE QSL TU 73!.",
"I6TND","20110522","2054",,"20M","RTTY","599","","Y","E","Y","jn63tl",,,,,,,,,,,,,,,,,,,,,
"VE3NOO","20110526","2104",,"17M","PSK","579","","Y","E","Y","FN14sf",,,,,,,,,,,,,,,,,,,,"thanks for the qso, 73 de michael",
"5B4AHY","20110528","1225",,"17M","RTTY","599","","Y","E","Y","KM64ft",,,,,,,,,,,,,,,,,,,,"GL de DAVID",
"VE9DX","20110531","2115",,"17M","PSK","599","","Y","E","Y","FN75aj",,,,,,,,,,,,,,,,,,,,,
"VE9DX","20110531","2121",,"17M","PSK","599","","Y","E","Y","FN75aj",,,,,,,,,,,,,,,,,,,,,
"EB3JT","20110602","1027",,"20M","PSK","599","","Y","E","Y","JN01UI",,,,,,,,,,,,,,,,,,,,,
"EB3JT","20110602","1027",,"20M","PSK","599","","Y","E","Y","JN01UI",,,,,,,,,,,,,,,,,,,,,
"EB3JT","20110602","1027",,"20M","PSK","599","","Y","E","Y","JN01UI",,,,,,,,,,,,,,,,,,,,,
"EG3EPC","20110602","1027",,"20M","PSK","599","","Y","E","Y","JN01",,,,,,,,,,,,,,,,,,,,,"50.0000"
"PI4F","20110609","1907",,"40M","SSB","59","","Y","E","Y","jo22da",,,,,,,,,,,,,,,,,,,,,"400.0000"
"DL0YLQ","20110609","1939",,"80M","SSB","59","","Y","E","Y","JN39JG",,,,,,,,,,,,,,,,,,,,,
"W4DXX","20110628","0514",,"20M","RTTY","599","","Y","E","Y","EM70su",,,,,,,,,,,,,,,,,,,,,
"W4DXX","20110628","0519",,"20M","RTTY","599","","Y","E","Y","EM70su",,,,,,,,,,,,,,,,,,,,,"100.0000"
"SX0A","20110629","0746",,"20M","SSB","57","","Y","E","Y","km10ml",,,,,,,,,,,,,,,,,,,,,
"SX0A","20110629","0756",,"10M","SSB","59","","Y","E","Y","km10ml",,,,,,,,,,,,,,,,,,,,,
"YO7CFD","20110629","1326",,"10M","PSK","599","","Y","E","Y","kn14vh",,,,,,,,,,,,,,,,,,,,,
"ZS6EPC","20110629","1333",,"15M","PSK","599","","Y","E","Y","KG33WU",,,,,,,,,,,,,,,,,,,,,
"ZS6C","20110629","1333",,"15M","PSK","","","Y","E","Y","KG33vu",,,,,,,,,,,,,,,,,,,,,
"OM8AMF","20110629","1339",,"15M","PSK","599","","Y","E","Y","KN08OR",,,,,,,,,,,,,,,,,,,,"tnx for nice qso dr Reginald GL,GB,73 Mirek OM8AMF",
"OM8AMF","20110629","1347",,"15M","PSK","599","","Y","E","Y","KN08OR",,,,,,,,,,,,,,,,,,,,,
"HA2EBQ","20110629","1400",,"10M","PSK","599","","Y","E","Y","JN97BS",,,,,,,,,,,,,,,,,,,,,
"YO5TP","20110629","1705",,"12M","PSK","599","","Y","E","Y","KN16SS",,,,,,,,,,,,,,,,,,,,,
"YO5TP","20110629","1709",,"12M","PSK","599","","Y","E","Y","KN16SS",,,,,,,,,,,,,,,,,,,,,
"UR5ZVX","20110701","1716",,"10M","PSK","599","","Y","E","Y","KN58ka",,,,,,,,,,,,,,,,,,,,"TNX For QSO TU 73!.",
"OM0DC","20110701","1917",,"6M","PSK","599","","Y","E","Y","KN09OH",,,,,,,,,,,,,,,,,,,,"TNX QSO 73",
"OM0DC","20110701","1921",,"6M","PSK","599","","Y","E","Y","KN09OH",,,,,,,,,,,,,,,,,,,,,
"I1RJP","20110701","1936",,"10M","PSK","599","","Y","E","Y","JN45BO",,,,,,,,,,,,,,,,,,,,,
