
YEAR AM ARDOP ATV C4FM CHIP CLO CONTESTI CW  DIGITALVOICE DOMINO DSTAR FAX FM FSK441 FT8  HELL ISCAT JT4 JT6M JT9 JT44 JT65 MFSK MSK144 MT63 OLIVIA OPERA PAC PAX PKT PSK PSK2K Q15 QRA64 ROS RTTY RTTYM SSB SSTV T10 THOR THRB TOR V4 VOI WINMOR WSPR AMTORFEC ASCI CHIP64 CHIP128 DOMINOF FMHELL FSK31 GTOR HELL80 HFSK JT4A JT4B JT4C JT4D JT4E JT4F JT4G JT65A JT65B JT65C MFSK8 MFSK16 PAC2 PAC3 PAX2 PCW PSK10 PSK31 PSK63 PSK63F PSK125 PSKAM10 PSKAM31 PSKAM50 PSKFEC31 PSKHELL QPSK31 QPSK63 QPSK125 THRBX
2011 0  0     0   0    0    0   0        0   0            0      0     0   20 0      0    0    0     0   0    0   0    0    0    0      0    2      0     0   0   0   0   0     0   0     0   51   0     433 0    0   0    1    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     2      0    0    0    0   0     194   44    0      27     0       0       0       0        0       0      0      3       0    
2012 0  0     0   0    0    0   1        0   0            0      0     0   4  0      0    0    0     0   0    0   0    47   0    0      0    3      0     0   0   0   0   0     0   0     0   7    0     217 0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     84    28    0      14     0       0       0       0        0       0      1      1       0    
2013 0  0     0   0    0    0   0        0   0            0      0     0   2  0      0    1    0     0   0    0   0    18   0    0      0    1      0     0   0   0   0   0     0   0     0   2    0     445 0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     1      0    0    0    0   0     81    23    0      8      0       0       0       0        0       0      0      3       0    
2014 0  0     0   0    0    0   0        0   0            0      0     0   0  0      0    1    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   1    0     42  0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     4     2     0      1      0       0       0       0        0       0      0      0       0    
2015 0  0     0   0    0    0   0        0   0            1      0     0   1  0      0    0    0     0   0    0   0    0    0    0      0    2      0     0   0   0   0   0     0   0     0   5    0     230 0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     25    23    0      7      0       0       0       0        0       0      0      0       0    
2016 0  0     0   0    0    0   0        0   0            1      0     0   0  0      0    0    0     0   0    0   0    33   0    0      0    1      0     0   0   0   0   0     0   0     0   13   0     266 0    0   1    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     25    21    0      6      0       0       0       0        0       0      0      0       0    
2017 0  0     0   0    0    0   0        58  0            0      0     0   0  0      0    0    0     0   0    0   0    14   0    0      0    0      0     0   0   0   0   0     0   0     0   1    0     112 0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
2018 0  0     0   0    0    0   0        122 0            0      0     0   0  0      121  1    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   3    0     494 0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
2019 0  0     0   0    0    0   1        189 0            0      0     0   0  0      549  0    0     0   0    0   0    0    23   0      0    2      0     0   0   0   0   0     0   0     0   1    0     99  0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     1     0     0      0      0       0       0       0        0       0      0      0       0    
2020 0  0     0   0    0    0   0        146 0            0      0     0   0  0      1900 0    0     0   0    0   0    0    458  0      0    0      0     0   0   0   0   0     0   0     0   0    0     67  0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    
2021 0  0     0   0    0    0   0        0   0            0      0     0   0  0      30   0    0     0   0    0   0    0    0    0      0    0      0     0   0   0   0   0     0   0     0   0    0     0   0    0   0    0    0   0  0   0      0    0        0    0      0       0       0      0     0    0      0    0    0    0    0    0    0    0    0     0     0     0     0      0    0    0    0   0     0     0     0      0      0       0       0       0        0       0      0      0       0    


